id,speakers,tokens,tags
36,TL,ich höre,5
291,TL,Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig?,3
69,TL,UGV 2 von Einsatzleiter,4
278,TL,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,1
1733,UGV-1,ist negativ noch nicht,0
191,TL,das Bild mit dem Behälter war in östlicher Richtung war's korrekt?,3
336,UAV,das U- das erdgebundene,6
1848,TL,negativ,0
657,WHS,Im Lagebildsystem ist nicht kann es nicht erkannt werden kommen,0
135,UGV-1,ich korrigiere - UGV 1,6
51,UGV-1,weitererkunden in westlicher Richtung verstanden,7
247,UGV-2,negativ,0
19,TL,UGV 2 von Einsatzleiter kommen,4
58,TL,UAV von Einsatzleiter,4
1175,UGV-2,negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne,0
492,ZF,Für sie Erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,1
72,UAV,Einsatzleiter von UAV,4
1007,TL,versta- Mission,6
25,TL,ja richtig,7
17,TL,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,1
46,UGV-1,kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen?,3
1787,UAV,negativ,0
177,UGV-1,ja das ist verstanden,7
99,UAV,also ich kann auch hier keine Glutnester erkennen,2
261,UAV,- an der - an dem Tank,6
334,UAV,ja ist negativ,0
1803,UGV-1,ja das ist negativ,0
52,TL,UGV 2 von Einsatzleiter,4
173,UGV-2,wir haben aktuell immer noch Probleme mit der Steuerung,0
441,ZF,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,1
41,TL,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,1
53,UGV-2,UGV 2 hört,5
27,UGV-1,westliche Richtung verstanden,2
98,TL,ich höre,5
13,UAV,sollen wir loslegen und erkunden? oder hast du noch was?,3
176,TL,schickst du mir dann auch von da mal ein Foto?,1
107,UGV-2,UGV 2 hört,5
147,TL,UGV 2 von Einsatzleiter,4
70,UGV-2,ja ich UGV 2,5
54,TL,wo ist dein Standort im Moment?,3
115,UGV-2,Einsatzleiter von UGV 2 kommen,4
520,ZF,können sie die Kamera so positionieren dass man das gefahrgut kennzeichen sieht kommen,1
86,TL,fahrt ihr runter oder fahrt ihr auch über diese Rampe?,3
152,TL,ich höre,5
80,UGV-1,ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist,2
813,UGV-2,wir können momentan keine Fotos machen,0
105,UAV,ich guck mal gleich wieder,2
75,UAV,wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an,2
88,TL,kannst du mir ein Bild schicken?,1
422,D2,Nochmal bitte kommen,1
34,TL,ja richtig,7
321,UAV,wir sind unterwegs und melden uns gleich nochmal,6
501,ZF,Für sie Auftrag Erkundung innen der Halle kommen,1
235,UGV-1,reichen dir die Bilder?,3
3,TL,UGV 2 von Einsatzleiter kommen,4
85,UGV-2,UGV 2 hört,5
171,UGV-2,UGV 2 hört,5
161,UGV-2,sollen wir versuchen uns anzuschließen?,3
73,TL,ich höre,5
1043,UAV,in der Ar- in Arbeit,6
1399,UGV-2,negativ,0
536,ZF,Für sie Auftrag es wird eine manipulation vorbereitet mit dem D2 kommen,1
156,TL,ja mache ich,7
347,TL,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,1
50,TL,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,1
71,UGV-2,ich komme gleich mit 'nem neuen Bild,2
129,UAV,Einsatzleiter von UAV,4
10,TL,ja Bild ist angekommen,2
164,UAV,Einsatzleiter von UAV,4
145,TL,könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,1
106,UGV-2,UGV 2 von Einsatzleiter,4
133,UGV-1,Einsatzleiter von UAV 1,4
843,UGV-2,momentan kann ich keine Bilder senden,0
82,TL,ja fahr mal rein,7
26,TL,ihr nehmt aber die westliche Richtung,2
100,TL,ja verstanden,2
45,UGV-1,ich hab dir ein'n Schnappschuss erstellt,2
32,UGV-1,ja es gibt Treppen,7
94,TL,ja dann fahrt mal hoch und erkundet da weiter,7
886,UGV-1,weiterhin technisch nicht möglich Fotos zu senden,0
102,UAV,ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja,7
97,UAV,U- UAV,6
95,UGV-1,ja ist verstanden,2
216,TL,Frage: könnt ihr den Behälter mal von einer anderen Seite anfahren und erkunden ob er noch verschlossen ist oder ob da irgendwas austritt?,1
136,TL,ja kommen Sie,5
61,UAV,und können noch keine neuen Bilder senden,2
90,UGV-1,Einsatzleiter von UGV 1 kommen,4
57,TL,ja,7
528,ZF,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,1
44,TL,ich höre,5
304,TL,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,1
77,TL,ja verstanden,2
35,UAV,Einsatzleiter von UAV,4
4,UGV-2,UGV 2 hört,5
168,TL,ja landet erst mal ihr kriegt einen neuen Auftrag,7
22,TL,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? kommen,1
243,TL,ich komme sofort wieder,6
67,TL,ihr bewegt euch weiter in westlicher Richtung?,3
31,TL,habt ihr die Möglichkeit die Ebene zu wechseln?,3
62,TL,ja verstanden,2
12,TL,ja ich höre,5
200,TL,ja insbesondere was die Wärmeentwicklung geht anbetrifft,1
343,TL,ja schickst du mir mal ein Foto?,1
404,UAV,wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus,0
68,UGV-1,das ist korrekt,7
186,TL,könnt ihr mir Näheres zu dem Behälter geben?,3
87,UGV-2,also aktuell stehe ich noch an dem flachen Bereich der Rampe,2
48,TL,UGV 1 von Einsatzleiter kommen,4
158,TL,ich höre,5
1352,TL,mit der - mit der Drohne,6
79,TL,ich höre,5
96,UAV,Einsatzleiter von UAV,4
295,TL,dann müsst ihr euch von da aus in östlicher Richtung bewegen,1
11,UAV,Einsatzleiter von UAV-Drohne,4
109,UGV-2,ja,7
274,UGV-1,Si- andere Signaturen,6
172,TL,du sprachst eben von einer anderen Ebene habt ihr die schon erreicht?,3
55,UGV-2,wir befinden uns auf einer Rampe,2
167,UAV,hast du danach noch einen Auftrag für uns?,3
7,UGV-2,ja wir sind auch einsatzbereit,7
241,UGV-2,ja kriegen wir auch noch einen Auftrag?,3
1,TL,die Drohne ist auch einsatzbereit?,3
151,UAV,Einsatzleiter von UAV,4
15,TL,UAV von Einsatzleiter kommen,4
2,UAV,ja das ist korrekt,7
38,TL,das ist verstanden,2
142,TL,UAV von Einsatzleiter,4
43,UGV-1,Einsatzleiter von UGV 1,4
42,UAV,ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera,7
163,TL,ja macht ihr mal,7
1460,UGV-2,hier UGV-,6
246,TL,seht ihr die drei Hochbehälter?,3
1613,UGV-1,die funktioniert doch nicht,0
78,UGV-1,ja Einsatzleiter von UGV 1 kommen,4
487,ZF,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,1
194,TL,ja verstanden,7
1031,TL,Nicht gerade,6
157,UGV-2,Einsatzleiter von UGV 2 kommen,4
125,TL,ich höre,5
1951,UGV-2,ich glaube nicht,0
93,UGV-1,ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren,2
1238,TL,Könnten -,6
162,UGV-2,abz- anzuschließen,6
1884,UGV-2,ja negativ,0
110,UGV-2,ist schon etwas länger her,2
23,UGV-2,ja verstanden erkunden in südlicher Richtung,7
728,ZF,Gruppenführer warten sie kurz ende,6
476,ZF,Bitte auf Übungsbeginn warten kommen,1
508,ZF,Für sie bitte die Inbetriebnahme der Roboter D3 und D5 kommen,1
64,UGV-1,UGV 1 hört,5
1230,TL,Augenblick,6
510,ZF,Das ist so korrekt sie warten bitte noch auf weitere Einsatzbefehle kommen,1
174,UGV-1,UGV 1 erreicht gerade die erste Ebene,7
448,D2,Wir haben gerade kein <unverständlich> und wir müssen noch ins Auto fahren.,0
170,TL,UGV 2 von Einsatzleiter,4
103,TL,Rauchentwicklung ist von dort aus auch nicht zu sehen?,3
14,TL,ja startet mal und fliegt ja startet erst mal,7
47,UGV-1,das wäre jetzt der Blick in den westlichen Teil der Halle,2
1312,TL,einen Augenblick ich melde mich gleich,6
1404,UGV-2,nicht ge- richtig,6
146,UAV,ja wir schalten gerade um ich komme gleich wieder mit neuen Infos,7
92,UGV-1,habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse,2
140,TL,ja danke,7
39,TL,UAV von Einsatzleiter kommen,4
56,UGV-2,ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg,2
1511,TL,ja,6
699,GF,Ja bleiben sie kurz dran,6
1983,UAV,noch negativ,0
1406,UGV-2,ne ich kann hier nichts machen,0
5,TL,wie ist bei dir auch einsatzbereit?,3
30,UGV-1,die westliche Richtungserkundung auf dieser Ebene?,3
322,TL,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war,1
124,UAV,Einsatzleiter von UAV,4
1959,UGV-1,negativ,0
66,UGV-1,bisher negativ,0
9,UGV-2,ich hab gerade ein Bild hochgeladen das müsstest du sehen,2
63,TL,UGV 1 von Einsatzleiter,4
150,UGV-2,ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt,7
1289,TL,Fo-,6
929,TL,über- machen,6
28,UGV-1,Einsatzleiter von UGV 1 kommen,4
21,TL,ja richtig,7
1188,TL,Augenblick,6
130,TL,ich höre,5
265,TL,Frage: wo ist jetzt euer Standort?,3
537,ZF,Falsch den hast du ja gar nicht,6
1783,TL,warten,0
1283,TL,bin - ich – k-,6
121,TL,ja fahrt da mal rein,7
49,UGV-1,UGV 1 hört,5
1410,UGV-2,ne,0
83,UGV-1,ja verstanden,2
1194,TL,Augenblick,6
18,UAV,ja ist verstanden westlich über das Gelände und ein Bild schicken,7
1451,UGV-2,melde mich sofort,6
524,ZF,ein stückchen näher ran,1
20,UGV-2,Teamleader UGV 2 gerufen?,3
297,UGV-2,wie ist da meine Blickrichtung auf dem Bild?,3
104,UAV,ja,7
16,UAV,hier ist die UAV,5
24,UGV-1,Frage: der Einsatzbefehl gilt auch für UGV 1?,3
81,UGV-1,wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden,2
165,TL,höre,5
371,UGV-1,nein negativ,0
1931,UGV-1,ja das ist negativ,0
148,UGV-2,UGV 2 hört,5
108,TL,du hattest mir gerade das Bild geschickt ja?,3
74,UAV,also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen,2
29,TL,ja höre,5
134,TL,höre,5
1280,UAV,schi-,6
515,D1,Bisher nichts zu sehen,0
60,UAV,wir haben zur Zeit technische Probleme,2
179,TL,ich höre,5
37,UAV,ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen,2
120,TL,warte ich muss eben erst gucken,6
143,UAV,ich hör' dich,5
40,UAV,UAV hört,5
149,TL,schickst du mir noch mal ein aktuelles Foto euren Standortes?,1
116,TL,ich höre,5
6,TL,Standort Frage?,3
268,UGV-2,dafür müsstest du mal sagen wo wir ungefähr sind,3
76,UAV,au- aus,6
0,TL,hier der Teamleader,4
8,UGV-2,versuchen noch den Standort rauszufinden,2
65,TL,habt ihr schon neue Erkenntnisse?,3
59,UAV,hier ist die UAV,5
1800,UGV-2,sag ich mal ne,0
824,TL,negativ,0
33,UGV-1,ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe,2
253,TL,ja schickst du mir nochmal ein Bild?,1
451,ZF,dann bitte selbständig anfunken kommen,1
267,TL,dann bewegt ihr euch einmal in östlicher Richtung?,3
84,TL,UGV 2 von Einsatzleiter,4
1138,UGV-1,Ja die nördliche Wand kann ich gar nicht erreichen,0
101,TL,ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja?,3
119,UGV-2,Frage: sollen wir da jetzt reinfahren?,3
89,UGV-2,ja kommt sofort,7
192,UGV-1,das ist korrekt,7
91,TL,ich höre,5
